time,open,high,low,close,tick_volume,spread,real_volume
2024-05-08 04:00:00,1.07481,1.07489,1.07382,1.07414,6991,0,0
2024-05-08 08:00:00,1.07414,1.07493,1.07351,1.07442,9316,0,0
2024-05-08 12:00:00,1.07442,1.07539,1.07399,1.0749,9759,0,0
2024-05-08 16:00:00,1.07491,1.07576,1.07444,1.07459,11171,0,0
2024-05-08 20:00:00,1.07459,1.07486,1.0741,1.0748199999999999,5122,0,0
2024-05-09 00:00:00,1.0748,1.07507,1.07424,1.07433,3588,0,0
2024-05-09 04:00:00,1.07433,1.07517,1.07423,1.07454,6226,0,0
2024-05-09 08:00:00,1.07454,1.07466,1.07261,1.07281,8265,0,0
2024-05-09 12:00:00,1.07282,1.07625,1.0724,1.07594,12937,0,0
2024-05-09 16:00:00,1.07594,1.07819,1.07507,1.0776,13600,0,0
2024-05-09 20:00:00,1.0776,1.07846,1.07737,1.07816,6374,0,0
2024-05-10 00:00:00,1.0782,1.07859,1.07765,1.07793,3456,0,0
2024-05-10 04:00:00,1.07793,1.07827,1.07733,1.07741,5687,0,0
2024-05-10 08:00:00,1.07741,1.07869,1.0771600000000001,1.07808,10863,0,0
2024-05-10 12:00:00,1.0781,1.07862,1.07663,1.07702,10657,0,0
2024-05-10 16:00:00,1.07702,1.07902,1.07605,1.0776,13658,0,0
2024-05-10 20:00:00,1.0776,1.07776,1.07686,1.07692,5099,0,0
2024-05-13 00:00:00,1.07686,1.07753,1.0766,1.07694,4896,0,0
2024-05-13 04:00:00,1.07694,1.07733,1.07658,1.07697,7548,0,0
2024-05-13 08:00:00,1.07697,1.07846,1.07689,1.0783800000000001,10747,0,0
2024-05-13 12:00:00,1.0783800000000001,1.07998,1.07774,1.07983,9857,0,0
2024-05-13 16:00:00,1.07983,1.08069,1.07895,1.07935,12053,0,0
2024-05-13 20:00:00,1.07936,1.07942,1.07868,1.07898,5962,0,0
2024-05-14 00:00:00,1.07895,1.07938,1.07854,1.07877,2899,0,0
2024-05-14 04:00:00,1.07877,1.07898,1.07844,1.07856,4987,0,0
2024-05-14 08:00:00,1.07856,1.07895,1.07755,1.0783800000000001,8449,0,0
2024-05-14 12:00:00,1.07837,1.08107,1.07672,1.08032,12596,0,0
2024-05-14 16:00:00,1.08032,1.08257,1.08008,1.0817,14176,0,0
2024-05-14 20:00:00,1.0817,1.08231,1.08157,1.08197,4780,0,0
2024-05-15 00:00:00,1.0818699999999999,1.082,1.08131,1.0817,4238,0,0
2024-05-15 04:00:00,1.0817,1.08279,1.08165,1.08216,5349,0,0
2024-05-15 08:00:00,1.08216,1.08348,1.08213,1.08299,9089,0,0
2024-05-15 12:00:00,1.083,1.08695,1.0822,1.08613,14724,0,0
2024-05-15 16:00:00,1.08612,1.08747,1.08317,1.08721,19053,0,0
2024-05-15 20:00:00,1.08721,1.08862,1.08717,1.08838,6385,0,0
2024-05-16 00:00:00,1.08841,1.08951,1.08779,1.08938,5544,0,0
2024-05-16 04:00:00,1.08938,1.0894,1.08815,1.08849,8267,0,0
2024-05-16 08:00:00,1.08849,1.08852,1.08663,1.08734,10561,0,0
2024-05-16 12:00:00,1.08734,1.0875,1.08608,1.08634,10807,0,0
2024-05-16 16:00:00,1.08633,1.08759,1.08545,1.08735,13027,0,0
