date,open,high,low,close,tick_volume,spread,real_volume,RSI,EMA
2015-06-24,123.929,124.372,123.712,123.831,105195,7,0,46.381072378552446,123.42967720502101
2015-06-25,123.835,123.952,123.315,123.617,96345,7,0,34.08312958435211,123.45465357768487
2015-06-26,123.618,123.984,123.22,123.837,92636,7,0,43.968797564687954,123.50563310066022
2015-06-29,122.741,123.187,122.099,122.525,157416,7,0,35.95767854364401,123.37488202057219
2015-06-30,122.53,122.72,121.935,122.487,130682,7,0,48.286669452569974,123.25649775116256
2015-07-01,122.483,123.232,122.352,123.163,105112,6,0,47.418738049713085,123.24403138434089
2015-07-02,123.154,123.719,122.952,123.044,107165,4,0,46.12668743509859,123.21736053309544
2015-07-03,123.049,123.179,122.597,122.87,80623,5,0,44.64321608040198,123.17104579534939
2015-07-06,121.985,122.926,121.841,122.561,144764,6,0,42.450305810397595,123.08970635596947
2015-07-07,122.56,122.88,122.002,122.521,144701,6,0,41.40579988477051,123.01387884184021
2015-07-08,122.517,122.561,120.408,120.695,189780,6,0,32.8408225437928,122.70469499626151
2015-07-09,120.695,121.573,120.456,121.323,150174,6,0,40.23702847232249,122.52046899675997
2015-07-10,121.321,122.876,121.272,122.751,142987,6,0,46.1027111574557,122.55120646385865
2015-07-13,122.305,123.53,122.305,123.414,126331,6,0,46.64516129032261,122.66624560201083
2015-07-14,123.416,123.728,122.912,123.381,107618,6,0,47.07031249999999,122.7615461884094
2015-07-15,123.38,123.966,123.256,123.751,114377,6,0,50.85502807554875,122.89347336328815
2015-07-16,123.749,124.173,123.718,124.14,111574,6,0,51.892567145534024,123.05967691484975
2015-07-17,124.141,124.227,123.911,124.047,86621,9,0,61.214264662540415,123.19131999286978
2015-07-20,124.029,124.37,124.023,124.275,48911,10,0,62.815366972477094,123.33581066048714
2015-07-21,124.268,124.471,123.757,123.86,111358,9,0,55.18987341772152,123.4057025724222
2015-07-22,123.847,124.145,123.566,123.94,103851,8,0,56.71060515278607,123.47694222943258
2015-07-23,123.947,124.184,123.671,123.885,131496,9,153280525000,57.739820039652244,123.5313499321749
2015-07-24,123.851,124.092,123.593,123.821,116881,9,156787935000,59.98098859315576,123.56996994121826
2015-07-27,123.753,123.833,123.006,123.235,131486,7,180779937000,55.20559930008746,123.52530728238918
2015-07-28,123.233,123.79,123.072,123.543,131434,7,186995536000,76.66666666666663,123.52766631140395
2015-07-29,123.548,124.022,123.328,123.935,132138,3,183188314000,75.5877742946708,123.58197746988344
2015-07-30,123.902,124.577,123.865,124.134,130563,4,187108549000,67.84516129032247,123.655580473899
2015-07-31,124.119,124.371,123.516,123.85,145026,8,197508456000,56.235697940503286,123.68150307737913
2015-08-03,123.866,124.267,123.852,124.026,121611,4,182850371000,58.862324814509364,123.72743600039526
2015-08-04,124.017,124.398,123.797,124.371,134861,4,181772585000,58.57775318206955,123.81324453367588
2015-08-05,124.372,125.009,124.014,124.842,134314,7,172934331000,59.49675324675316,123.95041192918578
2015-08-06,124.836,124.959,124.538,124.722,120016,5,168965333000,59.06526994359377,124.05329033862768
2015-08-07,124.708,125.064,124.1,124.203,102148,5,126835727000,49.10313901345288,124.07325162681066
2015-08-10,124.145,124.779,124.145,124.601,71168,5,86343277000,59.269452089066796,124.14361807656924
2015-08-11,124.607,125.203,124.516,125.035,109222,4,136358278000,62.58331418064811,124.26246899969335
2015-08-12,125.096,125.276,123.788,124.124,125095,9,157866645000,52.2949875168042,124.24400646640092
2015-08-13,124.184,124.624,124.064,124.378,94031,4,116970660000,55.160274226422096,124.26187227088081
2015-08-14,124.396,124.53,124.052,124.313,90929,9,122138787000,61.0541427399508,124.26868930143004
2015-08-17,124.213,124.571,124.17,124.356,97686,9,132442949000,58.81587508132715,124.28033072790603
2015-08-18,124.356,124.511,124.177,124.37,108938,9,155786420000,55.138199858256584,124.2922866308519
2015-08-19,124.372,124.466,123.685,123.69,135892,9,180064437000,45.290623674162056,124.21198174673833
2015-08-20,123.758,124.153,123.326,123.375,142105,9,184856209000,44.99473129610123,124.10038418050657
2015-08-21,123.38,123.493,121.811,122.049,184992,9,223744277000,33.23155216284995,123.82686628977237
2015-08-24,121.863,122.021,116.131,118.345,270643,3,187196925000,17.4411065485196,123.09595078446938
2015-08-25,118.364,120.393,118.246,118.843,271247,6,256789620000,17.681284344359483,122.52889067987346
2015-08-26,118.828,120.01,118.446,119.827,250078,9,236781967000,25.874815179891584,122.16863858922366
2015-08-27,119.868,121.394,119.788,120.992,209596,9,193698286000,35.12186080993423,122.01175344399384
2015-08-28,120.992,121.741,120.648,121.712,170291,9,189645636000,37.00170970934945,121.971786318128
2015-08-31,121.635,121.635,120.878,121.215,126268,9,161070032000,32.909806728704424,121.87088147571095
2015-09-01,121.191,121.262,119.249,119.359,205599,8,219564766000,30.344031020542886,121.53596394561616
2015-09-02,119.329,120.462,119.215,120.32,183059,9,208739227000,34.18303710632989,121.373835419534
2015-09-03,120.318,120.694,119.637,120.046,162052,9,194083479000,33.635038735905525,121.19679069692948
2015-09-04,120.057,120.183,118.591,119.017,182046,9,196002947000,30.96341724310065,120.90615193733889
2015-09-07,118.892,119.585,118.795,119.26,124514,9,124968027000,32.072691552062906,120.68666501236038
2015-09-08,119.229,120.223,118.849,119.798,167014,9,179156693000,36.20836286321761,120.56817634404567
2015-09-09,119.774,121.193,119.769,120.515,203085,9,258404409000,40.146085997794934,120.5610861648396
2015-09-10,120.448,121.326,119.973,120.603,208745,9,234691444000,44.55326201597103,120.56667467619431
2015-09-11,120.587,120.964,120.358,120.568,156580,9,180219121000,61.572097865694936,120.56685138603507
2015-09-14,120.49,120.839,119.849,120.191,151059,9,186748573000,57.10670603121046,120.51673786789706
2015-09-15,120.213,120.649,119.396,120.405,162220,9,217385817000,53.31650218039937,120.5018394855108
2015-09-16,120.405,120.724,120.104,120.555,156557,9,234386025000,47.16196908689442,120.50892755410936
2015-09-17,120.551,120.989,119.789,119.996,158224,9,187893689000,38.61767046962055,120.44053721356144
2015-09-18,119.986,120.408,119.051,119.962,186132,9,216164412000,41.14487632508833,120.37673225175325
2015-09-21,120.114,120.655,119.722,120.551,149420,9,190690641000,60.26170798898079,120.3999679515195
2015-09-22,120.537,120.605,119.691,120.144,159462,9,218334955000,48.325085649029425,120.3658388913169
2015-09-23,120.132,120.54,119.622,120.262,168974,9,218405067000,52.118477834444825,120.35199370580798
2015-09-24,120.248,120.387,119.222,120.041,200578,9,254980694000,61.93473193473197,120.31052787836693
2015-09-25,120.106,121.23,120.02,120.577,201896,9,250619016000,64.36831769583239,120.34605749458467
2015-09-28,120.496,120.588,119.693,119.913,178947,9,227583206000,51.22106604374597,120.28831649530672
2015-09-29,119.911,120.157,119.246,119.725,198697,9,245344005000,40.55023923444966,120.21320762926582
2015-09-30,119.727,120.346,119.545,119.872,172479,4,221964998000,41.37768341590005,120.16771327869705
2015-10-01,119.871,120.272,119.489,119.911,173372,9,215816385000,42.257836436483686,120.13348484153745
2015-10-02,119.912,120.401,118.676,119.903,184779,9,204583582000,46.28291171915338,120.10275352933246
2015-10-05,119.985,120.547,119.865,120.451,164192,9,213957014000,50.54657794676798,120.14918639208813
2015-10-06,120.453,120.564,120.104,120.22,145185,9,204847120000,46.094660760083826,120.15862820647638
2015-10-07,120.202,120.358,119.744,120.001,156057,9,215142790000,50.06330716637135,120.13761111227954
2015-10-08,119.996,120.105,119.621,119.924,143342,8,206007739000,49.52404809619242,120.10912963064229
2015-10-09,119.91,120.344,119.833,120.211,127204,9,186775093000,45.39295392953921,120.12271234655665
2015-10-12,120.163,120.26,119.89,120.024,72373,9,105502096000,48.27089337175784,120.1095507003491
2015-10-13,120.019,120.076,119.549,119.725,106859,9,158371113000,42.645850451930855,120.0582772736359
2015-10-14,119.722,119.796,118.628,118.826,135815,9,188067110000,35.96673596673587,119.89397363715112
2015-10-15,118.821,119.165,118.058,118.89,147647,9,194068254000,28.130671506352044,119.76011048553097
2015-10-16,118.873,119.659,118.826,119.459,124771,9,166091033000,43.965975544922976,119.71996242079351
2015-10-19,119.377,119.608,119.135,119.495,123572,9,166705088000,46.814404432133095,119.68996743135438
2015-10-20,119.482,119.959,119.396,119.842,114240,9,172409825000,49.60629921259841,119.71023844050713
2015-10-21,119.825,120.089,119.753,119.923,121719,9,176822192000,50.155763239875405,119.73860664843951
2015-10-22,119.913,120.768,119.61,120.685,143143,9,201268178000,58.48892748588797,119.86479242864759
2015-10-23,120.677,121.481,120.223,121.439,159190,9,221262981000,60.26600166251043,120.07468677149458
2015-10-26,121.468,121.485,120.595,120.986,130433,9,183699907000,57.60826380611849,120.19619520196198
2015-10-27,120.986,121.072,120.159,120.383,134374,9,177085699000,53.52528608342554,120.22110250836707
2015-10-28,120.383,121.257,120.019,121.101,132038,9,187230349000,59.712823898333,120.33842217391813
2015-10-29,121.101,121.181,120.584,121.05,127545,9,164986819000,57.20419027992442,120.43329921739571
2015-10-30,121.051,121.483,120.275,120.603,144905,9,180137538000,54.759164885747104,120.45592598840962
2015-11-02,120.385,120.807,120.252,120.748,98848,9,132720503000,58.62708719851583,120.49486918995501
2015-11-03,120.748,121.227,120.594,121.059,103581,9,139739286000,70.90432503276541,120.57008663129434
2015-11-04,121.054,121.715,120.997,121.541,138603,9,177809425000,73.0161486369161,120.69954174712177
2015-11-05,121.549,122.0,121.383,121.738,138492,9,186655074000,71.15277519955445,120.83800284750555
2015-11-06,121.74,123.264,121.629,123.218,134946,9,193387056000,77.25076855511637,121.15533580117149
2015-11-09,123.256,123.601,122.973,123.178,127563,6,177128245000,75.56713672593494,121.42502436101529
2015-11-10,123.159,123.433,123.024,123.157,125695,6,177765528000,75.01547029702961,121.65595444621326
2015-11-11,123.128,123.219,122.734,122.853,100686,9,133062961000,68.04861804861794,121.81556052005149
2015-11-12,122.828,123.068,122.549,122.586,131215,9,180982689000,60.39137524913935,121.91828578404463
2015-11-13,122.58,122.986,122.435,122.606,128710,9,166469117000,65.9260715690128,122.00998101283868
2015-11-16,122.238,123.275,122.221,123.164,133196,9,180301325000,77.58381273556826,122.16385021112686
2015-11-17,123.164,123.484,123.164,123.436,127295,7,179511822000,75.40805223068546,122.33347018297661
2015-11-18,123.427,123.751,123.217,123.619,113707,9,156759960000,77.17368309710167,122.50487415857974
2015-11-19,123.624,123.629,122.618,122.863,132568,9,181608427000,72.43844320889593,122.5526242707691
2015-11-20,122.846,123.048,122.72,122.783,112395,9,155645696000,70.46871856769256,122.58334103466656
2015-11-23,122.821,123.255,122.778,122.819,103189,9,147851918000,68.73935264054515,122.61476223004436
2015-11-24,122.814,122.958,122.304,122.527,122742,9,172102938000,60.940967598757226,122.60306059937179
2015-11-25,122.545,122.931,122.254,122.709,125275,9,181036797000,60.81050990870631,122.61718585278888
2015-11-26,122.646,122.733,122.498,122.591,85954,9,107983697000,39.980824544582845,122.61369440575037
2015-11-27,122.577,122.876,122.302,122.709,90134,9,122673195000,42.68787028375443,122.62640181831698
2015-11-30,122.81,123.338,122.683,123.1,100324,7,145221815000,49.20324294101199,122.68954824254138
2015-12-01,123.1,123.271,122.637,122.871,112596,6,159081416000,50.25699600228442,122.71374181020254
