date,open,high,low,close,tick_volume,spread,real_volume
2020-06-16,1.26046,1.26876,1.25526,1.25722,132471,0,0
2020-06-17,1.25712,1.25888,1.25111,1.2555,109768,0,0
2020-06-18,1.25557,1.25669,1.24017,1.24211,111824,0,0
2020-06-19,1.24244,1.24563,1.23441,1.23509,94285,0,0
2020-06-22,1.2343,1.24768,1.23353,1.247,83980,0,0
2020-06-23,1.24682,1.25319,1.2432,1.2521,109968,0,0
2020-06-24,1.25191,1.25427,1.24144,1.24203,104851,0,0
2020-06-25,1.24183,1.24644,1.23888,1.24186,92296,0,0
2020-06-26,1.24182,1.24368,1.23144,1.23368,80719,0,0
2020-06-29,1.2335,1.23896,1.22517,1.22985,75315,0,0
2020-06-30,1.22978,1.24018,1.22579,1.24006,79077,0,0
2020-07-01,1.24009,1.24905,1.23593,1.24747,82446,0,0
2020-07-02,1.24747,1.25298,1.24563,1.24681,73744,0,0
2020-07-03,1.24674,1.24867,1.2438,1.2483,65121,0,0
2020-07-06,1.2464,1.25198,1.24603,1.24921,69133,0,0
2020-07-07,1.24916,1.25922,1.24623,1.25433,83181,0,0
2020-07-08,1.25406,1.26231,1.25085,1.26099,78521,0,0
2020-07-09,1.26094,1.26695,1.25961,1.26062,84117,0,0
2020-07-10,1.2606,1.26641,1.25668,1.2623,72283,0,0
2020-07-13,1.26348,1.26663,1.25504,1.25536,69885,0,0
2020-07-14,1.25541,1.25639,1.24799,1.25544,86121,0,0
2020-07-15,1.2553,1.26498,1.25466,1.25886,80140,0,0
2020-07-16,1.25872,1.26247,1.25201,1.25542,70340,0,0
2020-07-17,1.25528,1.25744,1.25119,1.25665,55074,0,0
2020-07-20,1.2562,1.26654,1.25181,1.26612,72170,0,0
2020-07-21,1.26618,1.2768,1.26502,1.2733,92821,0,0
2020-07-22,1.27311,1.27436,1.2644,1.27352,104604,0,0
2020-07-23,1.27336,1.276,1.26729,1.27404,107085,0,0
2020-07-24,1.27405,1.28036,1.27169,1.27946,94295,0,0
2020-07-27,1.27889,1.29029,1.27764,1.28796,103180,0,0
2020-07-28,1.28814,1.29528,1.28384,1.2932,103499,0,0
2020-07-29,1.29314,1.30136,1.2912,1.29956,101527,0,0
2020-07-30,1.29963,1.31029,1.29445,1.30945,113099,0,0
2020-07-31,1.30952,1.31704,1.30704,1.30842,140413,0,0
2020-08-03,1.30769,1.31129,1.30048,1.30761,116424,0,0
2020-08-04,1.30748,1.3108,1.29813,1.30713,96868,0,0
2020-08-05,1.3072,1.31617,1.30544,1.31137,97729,0,0
2020-08-06,1.3114,1.31859,1.31115,1.31421,121401,0,0
2020-08-07,1.31414,1.31481,1.30095,1.30508,113159,0,0
2020-08-10,1.30535,1.31035,1.30189,1.30731,79290,0,0
2020-08-11,1.30717,1.3132,1.30416,1.30475,105333,0,0
2020-08-12,1.30473,1.30676,1.30051,1.30317,106940,0,0
2020-08-13,1.30326,1.3125,1.30256,1.30672,87655,0,0
2020-08-14,1.30667,1.31426,1.30482,1.30848,82295,0,0
2020-08-17,1.30924,1.31219,1.30742,1.31046,72122,0,0
2020-08-18,1.3103,1.325,1.30932,1.32386,90080,0,0
2020-08-19,1.32298,1.32674,1.3094,1.30994,105675,0,0
2020-08-20,1.30948,1.32247,1.30646,1.32141,117588,0,0
2020-08-21,1.32143,1.32552,1.3059,1.30893,112244,0,0
2020-08-24,1.30804,1.3149,1.30536,1.30631,83711,0,0
2020-08-25,1.30633,1.31704,1.30552,1.31507,90938,0,0
2020-08-26,1.31512,1.3219,1.31172,1.32108,84063,0,0
2020-08-27,1.32092,1.32846,1.31612,1.31988,126215,0,0
2020-08-28,1.32,1.33565,1.31863,1.33506,119148,0,0
2020-08-31,1.3332,1.33957,1.33013,1.33661,94350,0,0
2020-09-01,1.33691,1.34823,1.33564,1.33836,123469,0,0
2020-09-02,1.33835,1.34026,1.32835,1.33511,109946,0,0
2020-09-03,1.33507,1.33585,1.32425,1.32809,120810,0,0
2020-09-04,1.32802,1.33191,1.3176,1.32822,117687,0,0
2020-09-07,1.32516,1.32756,1.31405,1.3166,63280,0,0
2020-09-08,1.31655,1.31735,1.29803,1.29814,115061,0,0
2020-09-09,1.2981,1.30237,1.28851,1.29994,102599,0,0
2020-09-10,1.30016,1.30352,1.27733,1.28098,118972,0,0
2020-09-11,1.2805,1.28658,1.27625,1.27956,98242,0,0
2020-09-14,1.278,1.29192,1.27657,1.28455,82712,0,0
2020-09-15,1.28397,1.29263,1.28146,1.28888,84987,0,0
2020-09-16,1.28887,1.30072,1.28749,1.29674,108660,0,0
2020-09-17,1.29687,1.29989,1.28648,1.29732,123357,0,0
2020-09-18,1.29732,1.29996,1.29128,1.29161,98719,0,0
2020-09-21,1.29299,1.29668,1.27757,1.28162,109387,0,0
2020-09-22,1.2816,1.28676,1.2711,1.27369,110208,0,0
2020-09-23,1.27296,1.27772,1.26753,1.27263,109560,0,0
2020-09-24,1.27236,1.2781,1.26906,1.27442,112604,0,0
2020-09-25,1.27508,1.28056,1.26876,1.27432,94063,0,0
2020-09-28,1.27571,1.29296,1.27451,1.28318,96021,0,0
2020-09-29,1.28296,1.2903,1.28224,1.28528,91972,0,0
2020-09-30,1.28606,1.29425,1.28053,1.2923,113585,0,0
2020-10-01,1.29156,1.29786,1.28196,1.28866,112945,0,0
2020-10-02,1.28882,1.29539,1.28366,1.29347,124301,0,0
2020-10-05,1.29278,1.29914,1.28999,1.29824,77130,0,0
2020-10-06,1.29747,1.30074,1.28671,1.28738,96333,0,0
2020-10-07,1.28706,1.29298,1.28452,1.29183,91302,0,0
2020-10-08,1.29125,1.29706,1.28916,1.2934,81519,0,0
2020-10-09,1.2933,1.30496,1.2916,1.30459,75113,0,0
2020-10-12,1.30228,1.30826,1.30052,1.30651,62898,0,0
2020-10-13,1.30633,1.3068,1.29218,1.29346,89557,0,0
2020-10-14,1.29331,1.30644,1.28627,1.30114,88507,0,0
2020-10-15,1.30116,1.30299,1.28904,1.29033,95411,0,0
2020-10-16,1.28999,1.29614,1.28647,1.29093,95824,0,0
2020-10-19,1.28932,1.30248,1.28926,1.29495,86637,0,0
2020-10-20,1.2942,1.298,1.29113,1.29478,86232,0,0
2020-10-21,1.29436,1.31771,1.29358,1.31469,97827,0,0
2020-10-22,1.314,1.31518,1.30708,1.30825,88525,0,0
2020-10-23,1.30778,1.31226,1.30192,1.3043,77885,0,0
2020-10-26,1.3056,1.30749,1.29925,1.30234,82805,0,0
2020-10-27,1.30198,1.30796,1.30009,1.3047,69794,0,0
2020-10-28,1.30407,1.30636,1.29165,1.29827,101230,0,0
2020-10-29,1.29828,1.30257,1.28806,1.29283,104555,0,0
2020-10-30,1.29251,1.2988,1.28987,1.29466,101262,0,0
2020-11-02,1.29245,1.29427,1.28542,1.29186,78844,0,0
2020-11-03,1.29171,1.30789,1.29076,1.30635,72049,0,0
2020-11-04,1.30534,1.31399,1.29144,1.29853,169536,0,0
2020-11-05,1.29828,1.31547,1.29297,1.31509,126615,0,0
2020-11-06,1.31462,1.31771,1.30924,1.31497,117272,0,0
2020-11-09,1.31581,1.32084,1.31182,1.31637,139844,0,0
2020-11-10,1.31631,1.32786,1.3157,1.32739,130098,0,0
2020-11-11,1.32693,1.3311,1.31918,1.32242,96560,0,0
2020-11-12,1.32223,1.32285,1.31066,1.31226,89896,0,0
2020-11-13,1.31129,1.32006,1.31095,1.31996,73943,0,0
2020-11-16,1.31664,1.32424,1.31655,1.32005,79079,0,0
2020-11-17,1.31921,1.32724,1.31877,1.32486,79139,0,0
2020-11-18,1.3246,1.33123,1.32401,1.32672,73522,0,0
2020-11-19,1.3268,1.32792,1.31958,1.32624,81444,0,0
2020-11-20,1.32564,1.32974,1.32446,1.32876,72638,0,0
2020-11-23,1.32927,1.33979,1.32641,1.33236,79499,0,0
2020-11-24,1.33241,1.33806,1.32932,1.33623,80768,0,0
2020-11-25,1.33566,1.33937,1.33046,1.33871,81269,0,0
2020-11-26,1.33724,1.3398,1.33222,1.33558,51108,0,0
2020-11-27,1.33552,1.33819,1.32874,1.33026,67804,0,0
2020-11-30,1.33288,1.33843,1.32949,1.33224,84953,0,0
2020-12-01,1.3322,1.34426,1.33149,1.34225,81579,0,0
2020-12-02,1.34136,1.3441,1.32876,1.33617,90381,0,0
2020-12-03,1.33618,1.35,1.33464,1.34525,81316,0,0
2020-12-04,1.34436,1.35392,1.34116,1.3436,88568,0,0
2020-12-07,1.3409,1.34378,1.32244,1.33789,90648,0,0
2020-12-08,1.33765,1.33936,1.32899,1.33565,98874,0,0
2020-12-09,1.33512,1.34784,1.33451,1.34061,82381,0,0
2020-12-10,1.33966,1.34105,1.32458,1.32917,95227,0,0
2020-12-11,1.32938,1.33246,1.31346,1.3223,90920,0,0
2020-12-14,1.33616,1.34454,1.32898,1.33301,81261,0,0
2020-12-15,1.33176,1.34697,1.32801,1.34603,91177,0,0
2020-12-16,1.34538,1.35539,1.34342,1.35087,86695,0,0
2020-12-17,1.35038,1.36242,1.34904,1.35844,81091,0,0
2020-12-18,1.35856,1.35898,1.34712,1.35233,73646,0,0
2020-12-21,1.33976,1.34985,1.31878,1.34636,120823,0,0
2020-12-22,1.34643,1.347,1.33044,1.33612,102208,0,0
2020-12-23,1.33575,1.3571,1.33484,1.34977,103849,0,0
2020-12-24,1.34905,1.36193,1.34889,1.35341,66615,0,0
2020-12-28,1.35448,1.3576,1.34293,1.34576,78125,0,0
2020-12-29,1.34448,1.35227,1.34415,1.35005,87116,0,0
2020-12-30,1.34966,1.36256,1.34893,1.36245,86227,0,0
2020-12-31,1.36214,1.36864,1.36006,1.36589,79079,0,0
2021-01-04,1.3643,1.37038,1.35416,1.3571,103270,0,0
2021-01-05,1.35659,1.36418,1.35542,1.36269,99121,0,0
2021-01-06,1.36236,1.3671,1.35381,1.36071,126140,0,0
2021-01-07,1.36073,1.36329,1.35321,1.3564,102917,0,0
2021-01-08,1.3563,1.36356,1.35383,1.35637,111105,0,0
2021-01-11,1.35546,1.35742,1.34508,1.35086,95724,0,0
2021-01-12,1.35101,1.36702,1.35002,1.36658,86281,0,0
2021-01-13,1.36671,1.37016,1.36118,1.36354,87860,0,0
2021-01-14,1.3637,1.37108,1.36166,1.3687,97251,0,0
2021-01-15,1.36843,1.36982,1.35726,1.35849,89200,0,0
2021-01-18,1.35998,1.36,1.35195,1.35848,69709,0,0
2021-01-19,1.35846,1.36363,1.35733,1.3635,76356,0,0
2021-01-20,1.36279,1.37188,1.36232,1.3659,82956,0,0
2021-01-21,1.36536,1.37459,1.36477,1.37335,83735,0,0
2021-01-22,1.37276,1.3736,1.36355,1.36823,74854,0,0
2021-01-25,1.36762,1.37236,1.3649,1.36758,84651,0,0
2021-01-26,1.36744,1.37445,1.36096,1.37359,76933,0,0
2021-01-27,1.37356,1.3759,1.36594,1.3689,98430,0,0
2021-01-28,1.36849,1.3746,1.36303,1.37256,107365,0,0
2021-01-29,1.37203,1.37518,1.36572,1.36993,112728,0,0
2021-02-01,1.37038,1.37577,1.36562,1.36632,96477,0,0
2021-02-02,1.36621,1.37103,1.3611,1.36674,85410,0,0
2021-02-03,1.36664,1.36832,1.36193,1.36427,76171,0,0
2021-02-04,1.36428,1.36978,1.35648,1.36707,81884,0,0
2021-02-05,1.3671,1.37399,1.36578,1.37383,73748,0,0
2021-02-08,1.37109,1.37495,1.36804,1.37419,68107,0,0
2021-02-09,1.37395,1.38202,1.37333,1.38133,70987,0,0
2021-02-10,1.38131,1.3866,1.38024,1.38344,71834,0,0
2021-02-11,1.38318,1.38591,1.38003,1.38159,60945,0,0
2021-02-12,1.38157,1.38624,1.37756,1.38514,62716,0,0
2021-02-15,1.38392,1.39192,1.38392,1.39024,55866,0,0
2021-02-16,1.39022,1.39516,1.38695,1.39018,79550,0,0
2021-02-17,1.39024,1.39069,1.38299,1.38642,82717,0,0
2021-02-18,1.38504,1.39862,1.38398,1.39735,85579,0,0
2021-02-19,1.39726,1.40365,1.39515,1.40038,78444,0,0
2021-02-22,1.40128,1.40862,1.39803,1.40617,90345,0,0
2021-02-23,1.40634,1.41167,1.4054,1.41157,80377,0,0
2021-02-24,1.411,1.42363,1.4082,1.41401,108029,0,0
2021-02-25,1.41408,1.41818,1.39998,1.40092,131768,0,0
2021-02-26,1.40134,1.40259,1.38877,1.3927,157861,0,0
2021-03-01,1.39248,1.39991,1.3904,1.39256,113235,0,0
2021-03-02,1.39257,1.39772,1.3859,1.39544,109595,0,0
2021-03-03,1.39512,1.40064,1.39209,1.39475,108886,0,0
2021-03-04,1.39496,1.40177,1.38803,1.38929,135592,0,0
2021-03-05,1.3894,1.39068,1.37781,1.38228,135772,0,0
2021-03-08,1.38124,1.38657,1.38001,1.3821,126093,0,0
2021-03-09,1.38181,1.39254,1.38014,1.3888,113857,0,0
